['potestad', 'dictar', 'texto']
['apartado', 'entender', 'perjuicio']
['cuenta', 'retribuir', 'trabajo']
['caso', 'incluir', 'relación']
['contrato', 'determinar', 'estructura']
['salario', 'comprender', 'salario']
['empresa', 'calcular', 'conforme']
['salario', 'afectar', 'estructura']
['empresario', 'pagar', 'prestación']
['derecho', 'acceder', 'través']
['diferencia', 'responder', 'motivo']
['tiempo', 'referir', 'abono']
['recibo', 'ajustar', 'modelo']
['salario', 'ajustar', 'modelo']
['trabajador', 'establecer', 'modelo']
['modelo', 'contener', 'claridad']
['deducción', 'proceder', 'liquidación']
['salario', 'corresponder', 'servicio']
['venta', 'intervenir', 'trabajador']
['cosa', 'finalizar', 'año']
['trabajador', 'prestar', 'servicio']
['trabajador', 'conservar', 'derecho']
['mes', 'fijar', 'convenio']
['trabajador', 'fijar', 'convenio']
['obstante', 'acordar', 'convenio']
['gratificación', 'prorratear', 'mensualidad']
['cuantía', 'superar', 'doble']
['salario', 'gozar', 'preferencia']
['crédito', 'gozar', 'preferencia']
['cuantía', 'resultar', 'triple']
['pago', 'gozar', 'preferencia']
['base', 'superar', 'triple']
['plazo', 'ejercitar', 'derecho']
['año', 'contar', 'momento']
['momento', 'percibir', 'salario']
['fin', 'abonar', 'trabajador']
['efecto', 'considerar', 'salario']
['concepto', 'referir', 'artículo']
['apartado', 'abonar', 'indemnización']
['cálculo', 'exceder', 'doble']
['salario', 'incluir', 'parte']
['ley', 'calcular', 'base']
['crédito', 'presumir', 'posibilidad']
['requisito', 'asumir', 'obligación']
['derecho', 'convenir', 'perjuicio']
['vez', 'continuar', 'acreedor']
['cantidad', 'resultar', 'favor']
['derecho', 'exigir', 'crédito']
['prestación', 'exigir', 'crédito']
['obligación', 'reducir', 'solicitud']
['cantidad', 'corresponder', 'cuantía']
['indemnización', 'abonar', 'cargo']
['proceso', 'calcular', 'base']
['indemnización', 'solicitar', 'abono']
['cargo', 'reducir', 'cantidad']
['trabajador', 'conservar', 'carácter']
['empresario', 'referir', 'artículo']
['cotización', 'atender', 'contingencia']
['artículo', 'entender', 'insolvencia']
['resolución', 'constar', 'declaración']
['prestación', 'resultar', 'apartado']
['apartado', 'prescribir', 'año']
['salario', 'fijar', 'indemnización']
['plazo', 'interrumpir', 'ejercicio']
['efecto', 'asumir', 'obligación']
['trabajo', 'pertenecer', 'empresa']
['síndico', 'ejercer', 'función']
['persona', 'ejercer', 'función']
['activo', 'justificar', 'apertura']
['colaboración', 'garantizar', 'cantidad']
['trabajador', 'establecer', 'distribución']
['empresa', 'distribuir', 'manera']
['distribución', 'respetar', 'caso']
['jornada', 'quedar', 'plazo']
['comienzo', 'mediar', 'mínimo']
['trabajo', 'respetar', 'caso']
['trabajo', 'incluir', 'caso']
['hora', 'establecer', 'periodo']
['periodo', 'considerar', 'tiempo']
['descanso', 'considerar', 'tiempo']
['tiempo', 'computar', 'modo']
['trabajo', 'computar', 'modo']
['trabajador', 'encontrar', 'puesto']
['derecho', 'solicitar', 'adaptación']
['forma', 'incluir', 'prestación']
['prestación', 'incluir', 'prestación']
['derecho', 'efectuar', 'solicitud']
['hijo', 'cumplir', 'año']
['hija', 'cumplir', 'año']
['ejercicio', 'acomodar', 'criterio']
['escrito', 'comunicar', 'aceptación']
['propuesta', 'posibilitar', 'necesidad']
['derecho', 'solicitar', 'regreso']
['párrafo', 'entender', 'caso']
['persona', 'resolver', 'jurisdicción']
['empresa', 'garantizar', 'registro']
['jornada', 'incluir', 'horario']
['flexibilidad', 'establecer', 'artículo']
['empresa', 'organizar', 'registro']
['jornada', 'conservar', 'registro']
['empresa', 'conservar', 'registro']
['registro', 'referir', 'precepto']
['año', 'permanecer', 'disposición']
['contrato', 'optar', 'hora']
['hora', 'compensar', 'tiempo']
['respecto', 'entender', 'hora']
['hora', 'reducir', 'proporción']
['proporción', 'existir', 'jornada']
['ámbito', 'incrementar', 'oportunidad']
['realización', 'pactar', 'convenio']
['retribución', 'entregar', 'copia']
['ley', 'considerar', 'trabajo']
['empresario', 'recurrir', 'realización']
['trabajador', 'exceder', 'hora']
['párrafo', 'considerar', 'trabajador']
['trabajo', 'resultar', 'aplicación']
['riesgo', 'comportar', 'salud']
['retribución', 'determinar', 'negociación']
['naturaleza', 'acordar', 'compensación']
['trabajador', 'ocupar', 'puesto']
['necesidad', 'prestar', 'servicio']
['régimen', 'incluir', 'domingo']
['turno', 'incluir', 'domingo']
['día', 'efectuar', 'equipo']
['equipo', 'desarrollar', 'actividad']
['trabajador', 'desarrollar', 'actividad']
['semana', 'contratar', 'personal']
['turno', 'gozar', 'momento']
['trabajador', 'ocupar', 'evaluación']
['trabajo', 'existir', 'empresa']
['empresario', 'organizar', 'trabajo']
['cara', 'atenuar', 'trabajo']
['hora', 'determinar', 'periodo']
['regla', 'comprender', 'tarde']
['día', 'resultar', 'aplicación']
['caso', 'respetar', 'fiesta']
['día', 'señalar', 'fiesta']
['comunidad', 'establecer', 'fiesta']
['hospitalización', 'precisar', 'reposo']
['sufragio', 'constar', 'norma']
['deber', 'suponer', 'imposibilidad']
['desempeño', 'percibir', 'indemnización']
['cargo', 'percibir', 'indemnización']
['indemnización', 'descontar', 'importe']
['caso', 'guardar', 'fin']
['lactante', 'cumplir', 'mes']
['duración', 'incrementar', 'caso']
['permiso', 'incrementar', 'caso']
['acogimiento', 'ejercer', 'derecho']
['voluntad', 'sustituir', 'reducción']
['acuerdo', 'llegar', 'empresa']
['empresa', 'respetar', 'caso']
['apartado', 'constituir', 'derecho']
['empresa', 'ejercer', 'derecho']
['dirección', 'limitar', 'ejercicio']
['empresa', 'comunicar', 'escrito']
['guardador', 'ejercer', 'derecho']
['causa', 'permanecer', 'continuación']
['derecho', 'reducir', 'jornada']
['discapacidad', 'desempeñar', 'actividad']
['derecho', 'precisar', 'cuidado']
['enfermedad', 'implicar', 'ingreso']
['duración', 'requerir', 'necesidad']
['empresario', 'limitar', 'ejercicio']
['jornada', 'referir', 'apartado']
['convenio', 'precisar', 'fecha']
['fecha', 'iniciar', 'permiso']
['trabajo', 'utilizar', 'empresa']
['derecho', 'ejercitar', 'término']
['supuesto', 'establecer', 'convenio']
['jurisdicción', 'fijar', 'fecha']
['disfrute', 'corresponder', 'decisión']
['calendario', 'fijar', 'empresa']
['vacaciones', 'fijar', 'empresa']
['fecha', 'corresponder', 'mes']
['empresa', 'referir', 'párrafo']
['derecho', 'disfrutar', 'vacaciones']
['suspensión', 'terminar', 'año']
['año', 'corresponder', 'supuesto']
['párrafo', 'imposibilitar', 'trabajador']
['año', 'corresponder', 'trabajador']
['vez', 'finalizar', 'incapacidad']
['empresa', 'efectuar', 'acuerdo']
['empresario', 'comunicar', 'decisión']
['trabajador', 'reclamar', 'ascenso']
['perjuicio', 'reclamar', 'diferencia']
['trabajador', 'reclamar', 'jurisdicción']
['negociación', 'establecer', 'periodo']
['artículo', 'reclamar', 'cobertura']
['efecto', 'reclamar', 'cobertura']
['artículo', 'requerir', 'acuerdo']
['fin', 'establecer', 'convenio']
['empresa', 'exigir', 'cambio']
['cambio', 'requerir', 'existencia']
['residencia', 'requerir', 'existencia']
['traslado', 'notificar', 'empresario']
['efectividad', 'notificar', 'decisión']
['derecho', 'optar', 'traslado']
['traslado', 'percibir', 'compensación']
['contrato', 'percibir', 'indemnización']
['año', 'prorratear', 'mes']
['servicio', 'prorratear', 'mes']
['compensación', 'referir', 'supuesto']
['supuesto', 'comprender', 'gasto']
['término', 'convenir', 'parte']
['decisión', 'impugnar', 'jurisdicción']
['sentencia', 'declarar', 'traslado']
['caso', 'reconocer', 'derecho']
['trabajador', 'reincorporar', 'centro']
['objeto', 'eludir', 'previsión']
['causa', 'justificar', 'actuación']
['traslado', 'considerar', 'fraude']
['traslado', 'referir', 'apartado']
['día', 'afectar', 'totalidad']
['periodo', 'comprender', 'número']
['día', 'comprender', 'número']
['empresa', 'ocupar', 'trabajador']
['periodo', 'versar', 'causa']
['consulta', 'versar', 'causa']
['posibilidad', 'evitar', 'efecto']
['medida', 'atenuar', 'consecuencia']
['centro', 'quedar', 'centro']
['trabajo', 'quedar', 'centro']
['procedimiento', 'corresponder', 'sujeto']
['consulta', 'corresponder', 'sujeto']
['trabajador', 'quedar', 'carácter']
['empresa', 'comunicar', 'manera']
['representante', 'iniciar', 'procedimiento']
['intención', 'iniciar', 'procedimiento']
['procedimiento', 'contar', 'representante']
['día', 'transcurrir', 'plazo']
['empresa', 'comunicar', 'inicio']
['comisión', 'impedir', 'inicio']
['inicio', 'comportar', 'caso']
['conclusión', 'notificar', 'autoridad']
['parte', 'negociar', 'fe']
['acuerdo', 'requerir', 'conformidad']
['caso', 'representar', 'mayoría']
['consulta', 'notificar', 'trabajador']
['empresario', 'notificar', 'trabajador']
['traslado', 'regir', 'efecto']
['decisión', 'referir', 'apartado']
['apartado', 'reclamar', 'conflicto']
['interposición', 'paralizar', 'tramitación']
['conflicto', 'paralizar', 'tramitación']
['periodo', 'entender', 'perjuicio']
['consulta', 'entender', 'perjuicio']
['trabajador', 'acordar', 'momento']
['consulta', 'referir', 'apartado']
['empresa', 'desarrollar', 'plazo']
['localidad', 'venir', 'servicio']
['derecho', 'ocupar', 'puesto']
['empresa', 'comunicar', 'trabajador']
['trabajo', 'ocupar', 'trabajador']
['trabajador', 'terminar', 'periodo']
['trabajador', 'optar', 'regreso']
['necesidad', 'recibir', 'localidad']
['empresa', 'efectuar', 'desplazamiento']
['trabajador', 'informar', 'desplazamiento']
['ejecutividad', 'recurrir', 'trabajador']
['trabajo', 'referir', 'artículo']
['consulta', 'establecer', 'prioridad']
['empresa', 'acordar', 'modificación']
['condición', 'existir', 'razón']
['trabajo', 'existir', 'razón']
['movilidad', 'prever', 'artículo']
['condición', 'afectar', 'condición']
['trabajo', 'afectar', 'condición']
['efecto', 'considerar', 'carácter']
['día', 'afectar', 'a']
['trabajador', 'considerar', 'carácter']
['referencia', 'alcanzar', 'umbral']
['carácter', 'notificar', 'empresario']
['trabajador', 'resultar', 'modificación']
['sentencia', 'declarar', 'modificación']
['umbral', 'establecer', 'apartado']
['modificación', 'considerar', 'fraude']
['ley', 'declarar', 'efecto']
['procedimiento', 'establecer', 'negociación']
['día', 'versar', 'causa']
['procedimiento', 'corresponder', 'sección']
['consulta', 'corresponder', 'sección']
['caso', 'representar', 'trabajador']
['intervención', 'regir', 'regla']
['interlocutor', 'regir', 'regla']
['procedimiento', 'afectar', 'centro']
['centro', 'corresponder', 'comité']
['trabajo', 'corresponder', 'comité']
['centro', 'existir', 'representación']
['trabajo', 'existir', 'representación']
['trabajador', 'optar', 'representación']
['sector', 'pertenecer', 'empresa']
['comisión', 'designar', 'sindicato']
['miembro', 'designar', 'sindicato']
['empresario', 'atribuir', 'representación']
['intervención', 'corresponder', 'lugar']
['interlocutor', 'corresponder', 'lugar']
['comisión', 'constituir', 'acuerdo']
['centro', 'contar', 'representante']
['trabajo', 'contar', 'representante']
['representante', 'optar', 'comisión']
['comisión', 'referir', 'letra']
['número', 'representar', 'supuesto']
['trabajador', 'representar', 'supuesto']
['número', 'representar', '3.']
['trabajador', 'representar', '3.']
['número', 'representar', 'comisión']
['trabajador', 'representar', 'comisión']
['periodo', 'finalizar', 'acuerdo']
['consulta', 'finalizar', 'acuerdo']
['acuerdo', 'presumir', 'causa']
['causa', 'aludir', 'apartado']
['solo', 'impugnar', 'jurisdicción']
['trabajador', 'ejercitar', 'opción']
['condición', 'notificar', 'empresario']
['trabajo', 'notificar', 'empresario']
['trabajador', 'finalizar', 'periodo']
['vez', 'finalizar', 'periodo']
['consulta', 'surtir', 'efecto']
['acuerdo', 'surtir', 'efecto']
['actividad', 'comprobar', 'contratista']
['término', 'establecer', 'plazo']
['plazo', 'quedar', 'responsabilidad']
['encargo', 'responder', 'obligación']
['subcontratista', 'responder', 'año']
['trabajador', 'responder', 'año']
['actividad', 'referir', 'construcción']
['reparación', 'contratar', 'cabeza']
['obra', 'contratar', 'realización']
['industria', 'contratar', 'realización']
['subcontratista', 'informar', 'escrito']
['información', 'facilitar', 'inicio']
['prestación', 'incluir', 'nombre']
['servicio', 'incluir', 'nombre']
['contratista', 'informar', 'identidad']
['subcontratista', 'informar', 'identidad']
['empresa', 'concertir', 'contrato']
['trabajador', 'ocupar', 'contratar']
['contratista', 'compartir', 'forma']
['extremo', 'referir', 'apartado']
['derecho', 'formular', 'representante']
['actividad', 'compartir', 'centro']
['subcontratista', 'compartir', 'forma']
['trabajo', 'reunir', 'efecto']
['crédito', 'venir', 'legislación']
['empresa', 'efectuar', 'través']
['empresa', 'limitar', 'puesta']
['actividad', 'ejercer', 'función']
['apartado', 'responder', 'obligación']
['derecho', 'adquirir', 'condición']
['antigüedad', 'computar', 'inicio']
['relación', 'quedar', 'empresario']
['protección', 'adquirir', 'cedente']
['artículo', 'considerar', 'sucesión']
['empresa', 'afectar', 'entidad']
['transmisión', 'afectar', 'entidad']
['entidad', 'mantener', 'identidad']
['acto', 'responder', 'año']
['cesionario', 'responder', 'obligación']
['cesión', 'declarar', 'delito']
['aplicación', 'mantener', 'fecha']
['convenio', 'resultar', 'entidad']
['objeto', 'conservar', 'autonomía']
['transmisión', 'conservar', 'autonomía']
['trabajador', 'seguir', 'función']
['condición', 'regir', 'anterioridad']
['cesionario', 'informar', 'representante']
['cesionario', 'facilitar', 'información']
['trabajador', 'resultar', 'transmisión']
['cesionario', 'comunicar', 'información']
['trabajador', 'ver', 'condición']
['tiempo', 'publicar', 'convocatoria']
['cesionario', 'prever', 'motivo']
['consulta', 'referir', 'párrafo']
['artículo', 'aplicar', 'independencia']
['transmisión', 'adoptar', 'empresario']
['empresa', 'ejercer', 'control']
['empresa', 'tomar', 'decisión']
['decisión', 'facilitar', 'información']
['experiencia', 'provenir', 'extranjero']
['trabajador', 'existir', 'sentencia']
['vigencia', 'conceder', 'designación']
['cargo', 'imposibilitar', 'asistencia']
['reingreso', 'solicitar', 'mes']
['derecho', 'ejercitar', 'vez']
['trabajador', 'transcurrir', 'año']
['año', 'atender', 'cuidado']
['acogimiento', 'contar', 'fecha']
['trabajador', 'atender', 'cuidado']
['periodo', 'disfrutar', 'forma']
['duración', 'disfrutar', 'forma']
['forma', 'constituir', 'derecho']
['caso', 'venir', 'periodo']
['trabajador', 'permanecer', 'situación']
['participación', 'convocar', 'empresario']
['plazo', 'quedar', 'puesto']
['reserva', 'quedar', 'puesto']
['persona', 'formar', 'parte']
['puesto', 'extender', 'máximo']
['trabajo', 'extender', 'máximo']
['mes', 'tratar', 'familia']
['mes', 'tratar', 'categoría']
['persona', 'ejercer', 'derecho']
['empresa', 'ejercer', 'función']
['trabajador', 'ejercer', 'función']
['excedencia', 'conservar', 'derecho']
['situación', 'extender', 'supuesto']
['excedencia', 'extender', 'supuesto']
['empresario', 'suspender', 'contrato']
['empresa', 'desprender', 'situación']
['caso', 'entender', 'disminución']
['año', 'entender', 'causa']
['causa', 'producir', 'cambio']
['modo', 'organizar', 'producción']
['servicio', 'pretender', 'mercado']
['empresa', 'pretender', 'mercado']
['suspensión', 'iniciar', 'comunicación']
['empresa', 'comunicar', 'representante']
['periodo', 'quedar', 'procedimiento']
['consulta', 'quedar', 'procedimiento']
['causa', 'aludir', 'párrafo']
['contrato', 'surtir', 'efecto']
['autoridad', 'comunicar', 'decisión']
['empresario', 'comunicar', 'representante']
['contrato', 'producir', 'caducidad']
['término', 'establecer', 'decisión']
['decisión', 'impugnar', 'autoridad']
['apartado', 'reclamar', 'trabajador']
['jurisdicción', 'declarar', 'medida']
['caso', 'declarar', 'reanudación']
['sentencia', 'declarar', 'reanudación']
['salario', 'percibir', 'trabajador']
